书名,作者,出版社,定价,京东价,好评率
Python编程从入门到实践, [美]埃里克·马瑟斯 著 袁国忠 译,人民邮电出版社,89.00,65.00,99% 
数学之美（第二版）吴军博士力作，李开复作序推荐, 吴军 著 ,人民邮电出版社,49.00,48.50,99% 
零基础学Python（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,79.80,67.00,99% 
机器学习, 周志华 著 ,清华大学出版社,88.00,61.60,99% 
Python从入门到项目实践（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,99.80,83.80,99% 
鸟哥的Linux私房菜基础学习篇第四版, 鸟哥 著 ,人民邮电出版社,118.00,79.10,99% 
深度学习[deeplearning], [美]Ian Goodfellow [加]Yoshua Bengio [加]Aaron Courville 著 ,人民邮电出版社,168.00,112.60,99% 
对比Excel，轻松学习Python数据分析, 张俊红 著 ,电子工业出版社,59.00,53.30,98% 
C++PrimerPlus（第6版中文版）[C++PrimerPlus], [美]StephenPrata 著 张海龙 袁国忠 译,人民邮电出版社,99.00,98.00,98% 
漫画算法：小灰的算法之旅（全彩）（限量签名随机发售）, 魏梦舒 著 ,电子工业出版社,79.00,67.20,99% 
PhotoshopCC从入门到精通PS教程全彩高清视频版, 唯美世界 著 ,中国水利水电出版社,99.80,89.80,99% 
CPrimerPlus第6版中文版, [美]史蒂芬·普拉达 著 姜佑 译,人民邮电出版社,89.00,74.50,98% 
Java编程思想（第4版）[thinkinginjava], [美]BruceEckel 著 陈昊鹏 译,机械工业出版社,108.00,71.30,98% 
深入理解Java虚拟机：JVM高级特性与最佳实践（第2版）, 周志明 著 ,机械工业出版社,79.00,61.20,99% 
代码整洁之道[CleanCodeAHandbookofAgileSoftwareCraftsmanship], [美]马丁 著 韩磊 译,人民邮电出版社,59.00,49.40,99% 
利用Python进行数据分析（原书第2版）[PythonforDataAnalysis:DataWranglingwithPand], [美]韦斯·麦金尼 著 徐敬一 译,机械工业出版社,119.00,78.50,99% 
Java从入门到精通（第5版）, 明日科技 著 javascript:void（0）; 注,清华大学出版社,69.80,62.80,97% 
零基础学C语言（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,69.80,58.60,99% 
高性能MySQL（第3版）, BaronSchwartz PeterZaitsev VadimTkachenko 著 宁海元 周振兴 彭立勋 等 译,电子工业出版社,128.00,108.80,98% 
剑指Offer：名企面试官精讲典型编程题（第2版）, 何海涛 著 ,电子工业出版社,65.00,55.30,99% 
"算法导论（原书第3版）/计算机科学丛书[IntroductiontoAlgorithms,thirdedition]", [美]ThomasH.Cormen [美]CharlesE.Leiserson [美]RonaldL.Rivest [美]CliffordStein 著 殷建平 徐云 王刚 等 译,机械工业出版社,128.00,84.50,98% 
深入理解计算机系统（原书第3版）, [美]兰德尔E.布莱恩特 著 龚奕利 贺莲 译,机械工业出版社,139.00,91.70,98% 
PPT之光：三个维度打造完美PPT（全彩）, 冯注龙 著 ,电子工业出版社,69.00,58.70,98% 
Excel之光：高效工作的Excel完全手册（全彩）, 冯注龙 丘荣茂 著 ,电子工业出版社,89.00,75.70,98% 
SpringBoot编程思想（核心篇）, 小马哥 著 ,电子工业出版社,118.00,100.30,97% 
"算法(第4版)[Algorithms,FourthEdition]", [美]RobertSedgewick [美]KevinWayne 著 谢路云 译,人民邮电出版社,99.00,66.40,99% 
WordExcelPPT2016办公应用从入门到精通（附光盘）, 神龙工作室 著 ,人民邮电出版社,49.00,48.50,99% 
和秋叶一起学WordExcelPPT（套装共3册）, 秋叶 著 ,人民邮电出版社,267.00,223.60,99% 
Python编程快速上手让繁琐工作自动化, [美]AlSweigart 著 王海鹏 译,人民邮电出版社,69.00,68.30,99% 
Python项目开发案例集锦（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,128.00,107.50,99% 
EffectiveJava中文版（原书第3版）, 约书亚·布洛克 著 俞黎敏 译,机械工业出版社,119.00,78.50,98% 
算法图解, [美]巴尔加瓦 著 袁国忠 译,人民邮电出版社,49.00,32.90,99% 
Python核心编程（第3版）[CorePythonApplicationsProgramming（3rdEdition）], [美]WesleyChun 著 孙波翔 李斌 李晗 译,人民邮电出版社,99.00,98.00,99% 
SQL即查即用（全彩版）, 明日科技 著 明日科技 编,吉林大学出版社,49.80,41.80,99% 
重构改善既有代码的设计（第2版平装版）, [美]马丁·福勒 著 熊节 林从羽 译,人民邮电出版社,99.00,98.00,98% 
浪潮之巅第三版套装上下册, 吴军 著 ,人民邮电出版社,99.00,76.70,99% 
人工智能（第2版）, [美]史蒂芬·卢奇 丹尼·科佩克 著 ,人民邮电出版社,108.00,106.90,99% 
浪潮之巅第四版吴军博士作品, 吴军 著 ,人民邮电出版社,139.00,93.10,99% 
PPT设计思维：教你又好又快搞定幻灯片, 邵云蛟 著 ,电子工业出版社,59.00,56.60,99% 
TensorFlow：实战Google深度学习框架（第2版）, 郑泽宇 梁博文 顾思宇 著 ,电子工业出版社,89.00,85.40,99% 
动手学深度学习, 阿斯顿·张 李沐 [美]扎卡里·C.立顿 等 著 ,人民邮电出版社,85.00,84.20,99% 
疯狂Python讲义, 李刚 著 ,电子工业出版社,118.00,113.30,99% 
Python基础教程（第3版）, MagnusLieHetland 著 袁国忠 译,人民邮电出版社,99.00,66.40,99% 
统计之美：人工智能时代的科学思维, 李舰 海恩 著 ,电子工业出版社,59.00,50.20,99% 
企业IT架构转型之道阿里巴巴中台战略思想与架构实战, 钟华 著 ,机械工业出版社,79.00,52.10,99% 
笨办法学Python3, [美]泽德·A.肖 著 王巍巍 译,人民邮电出版社,59.00,58.40,99% 
O'Reilly：HeadFirst设计模式（中文版）, [美]弗里曼 等 著 UMLChina 编OReillyTaiwan公司 译,中国电力出版社,98.00,80.40,99% 
