日期,最高气温,最低气温,天气,风向,空气质量
2011-01-01 星期六 ,-2℃,-12℃,多云,无持续风向 微风,
2011-01-02 星期日 ,-4℃,-14℃,多云,无持续风向 微风,
2011-01-03 星期一 ,-5℃,-13℃,多云,无持续风向 微风,
2011-01-04 星期二 ,-6℃,-14℃,多云,无持续风向 微风,
2011-01-05 星期三 ,-4℃,-14℃,多云,无持续风向 微风,
2011-01-06 星期四 ,-4℃,-13℃,多云,无持续风向 微风,
2011-01-07 星期五 ,-2℃,-12℃,多云,无持续风向 微风,
2011-01-08 星期六 ,-4℃,-9℃,小雪,无持续风向 微风,
2011-01-09 星期日 ,-3℃,-12℃,小雪~多云,无持续风向 微风,
2011-01-10 星期一 ,-3℃,-12℃,晴,无持续风向 微风,
2011-01-11 星期二 ,-4℃,-12℃,多云,无持续风向 微风,
2011-01-12 星期三 ,-2℃,-12℃,晴,无持续风向 微风,
2011-01-13 星期四 ,-2℃,-13℃,晴,无持续风向 微风,
2011-01-14 星期五 ,-1℃,-11℃,晴,无持续风向 微风,
2011-01-15 星期六 ,-4℃,-10℃,小雪~多云,无持续风向 微风,
2011-01-16 星期日 ,-4℃,-13℃,阴~多云,无持续风向 微风,
2011-01-26 星期三 ,-1℃,-7℃,阴~小雪,北风 微风,
2011-01-29 星期六 ,-3℃,-12℃,晴,无持续风向 微风,
2011-01-30 星期日 ,-1℃,-13℃,晴,无持续风向 微风,
2011-01-31 星期一 ,1℃,-11℃,晴,无持续风向 微风,
2011-02-01 星期二 ,5℃,-12℃,晴,无持续风向 微风,
2011-02-02 星期三 ,5℃,-9℃,晴,无持续风向 微风,
2011-02-03 星期四 ,8℃,-8℃,晴,无持续风向 微风,
2011-02-04 星期五 ,10℃,-7℃,晴,无持续风向 微风,
2011-02-05 星期六 ,11℃,-4℃,晴,无持续风向 微风,
2011-02-06 星期日 ,12℃,-4℃,晴,无持续风向 微风,
2011-02-07 星期一 ,8℃,-3℃,晴,无持续风向 微风,
2011-02-08 星期二 ,9℃,-4℃,多云~小雪,无持续风向 微风,
2011-02-09 星期三 ,6℃,-3℃,阴~多云,无持续风向 微风,
2011-02-10 星期四 ,9℃,-3℃,晴,无持续风向 微风,
2011-02-11 星期五 ,9℃,-3℃,多云,无持续风向 微风,
2011-02-12 星期六 ,8℃,-5℃,多云,无持续风向 微风,
2011-02-13 星期日 ,8℃,-6℃,晴,无持续风向 微风,
2011-02-14 星期一 ,9℃,-6℃,晴,无持续风向 微风,
2011-02-15 星期二 ,7℃,-3℃,多云,无持续风向 微风,
2011-02-16 星期三 ,6℃,-4℃,晴~多云,无持续风向 微风,
2011-02-17 星期四 ,3℃,-1℃,多云~小雪,无持续风向 微风,
2011-02-18 星期五 ,0℃,-5℃,小到中雪~阵雪,无持续风向 微风,
2011-02-19 星期六 ,7℃,-5℃,晴,无持续风向 微风,
2011-02-20 星期日 ,10℃,-4℃,晴,无持续风向 微风,
2011-02-21 星期一 ,11℃,-2℃,晴,无持续风向 微风,
2011-02-22 星期二 ,12℃,-1℃,晴,无持续风向 微风,
2011-02-23 星期三 ,16℃,0℃,晴,无持续风向 微风,
2011-02-24 星期四 ,16℃,1℃,晴~多云,无持续风向 微风,
2011-02-25 星期五 ,14℃,2℃,多云~阴,无持续风向 微风,
2011-02-26 星期六 ,7℃,-1℃,阴~小雨,无持续风向 微风,
2011-02-27 星期日 ,4℃,-1℃,阴~雨夹雪,无持续风向 微风,
2011-02-28 星期一 ,-1℃,-6℃,雨夹雪,无持续风向 微风,
2011-03-01 星期二 ,6℃,-7℃,晴~多云,无持续风向 微风,
2011-03-02 星期三 ,7℃,-3℃,多云~晴,无持续风向 微风,
2011-03-03 星期四 ,10℃,-4℃,晴~多云,无持续风向 微风,
2011-03-04 星期五 ,10℃,1℃,多云,无持续风向 微风,
2011-03-05 星期六 ,7℃,-1℃,多云,无持续风向 微风,
2011-03-06 星期日 ,9℃,-1℃,多云~晴,无持续风向 微风,
2011-03-07 星期一 ,11℃,-1℃,晴,无持续风向 微风,
2011-03-08 星期二 ,12℃,0℃,晴~多云,无持续风向 微风,
2011-03-09 星期三 ,10℃,-1℃,多云,无持续风向 微风,
2011-03-10 星期四 ,11℃,-2℃,晴,无持续风向 微风,
2011-03-11 星期五 ,13℃,-1℃,晴,无持续风向 微风,
2011-03-12 星期六 ,19℃,-1℃,晴~多云,无持续风向 微风,
2011-03-13 星期日 ,9℃,-3℃,多云~小雨,无持续风向~北风 微风~3-4级,
2011-03-14 星期一 ,-1℃,-6℃,小雪~多云,北风 3-4级,
2011-03-15 星期二 ,6℃,-8℃,晴,无持续风向 微风,
2011-03-16 星期三 ,14℃,-2℃,晴,无持续风向 微风,
2011-03-17 星期四 ,10℃,-4℃,晴~多云,无持续风向 微风,
2011-03-18 星期五 ,8℃,-4℃,多云~雨夹雪,无持续风向 微风,
2011-03-19 星期六 ,1℃,-3℃,小到中雪,无持续风向 微风,
2011-03-20 星期日 ,4℃,-3℃,阴~小雪,无持续风向 微风,
2011-03-21 星期一 ,2℃,-6℃,阴,无持续风向 微风,
2011-03-22 星期二 ,6℃,-4℃,晴~多云,无持续风向 微风,
2011-03-23 星期三 ,6℃,-4℃,晴~多云,无持续风向 微风,
2011-03-24 星期四 ,7℃,-3℃,多云~晴,无持续风向 微风,
2011-03-25 星期五 ,9℃,-2℃,多云~晴,无持续风向 微风,
2011-03-26 星期六 ,12℃,-2℃,晴,无持续风向 微风,
2011-03-27 星期日 ,15℃,-1℃,晴,无持续风向 微风,
2011-03-28 星期一 ,15℃,1℃,晴,无持续风向 微风,
2011-03-29 星期二 ,19℃,0℃,晴,无持续风向 微风,
2011-03-30 星期三 ,21℃,4℃,晴~多云,无持续风向 微风,
2011-03-31 星期四 ,16℃,7℃,多云,无持续风向 微风,
2011-04-01 星期五 ,15℃,5℃,多云,无持续风向 微风,
2011-04-02 星期六 ,18℃,5℃,晴~多云,无持续风向 微风,
2011-04-03 星期日 ,18℃,6℃,多云,无持续风向 微风,
2011-04-04 星期一 ,21℃,6℃,多云,无持续风向 微风,
2011-04-05 星期二 ,14℃,5℃,小雨,无持续风向 微风,
2011-04-06 星期三 ,12℃,3℃,小雨,无持续风向 微风,
2011-04-07 星期四 ,12℃,1℃,多云~晴,无持续风向 微风,
2011-04-08 星期五 ,15℃,3℃,多云~晴,无持续风向 微风,
2011-04-09 星期六 ,20℃,3℃,晴,无持续风向 微风,
2011-04-10 星期日 ,17℃,6℃,晴,无持续风向 微风,
2011-04-11 星期一 ,22℃,6℃,晴,无持续风向 微风,
2011-04-12 星期二 ,25℃,7℃,晴,无持续风向 微风,
2011-04-13 星期三 ,26℃,9℃,晴~多云,无持续风向 微风,
2011-04-14 星期四 ,22℃,11℃,多云~晴,无持续风向 微风,
2011-04-15 星期五 ,21℃,10℃,多云~晴,无持续风向 微风,
2011-04-16 星期六 ,23℃,8℃,晴,无持续风向 微风,
2011-04-17 星期日 ,22℃,8℃,晴,无持续风向 微风,
2011-04-18 星期一 ,24℃,8℃,晴,无持续风向 微风,
2011-04-19 星期二 ,26℃,10℃,晴~多云,无持续风向 微风,
2011-04-20 星期三 ,25℃,11℃,多云,无持续风向 微风,
2011-04-21 星期四 ,22℃,9℃,多云,北风 4-5级,
2011-04-22 星期五 ,23℃,8℃,多云,无持续风向 微风,
2011-04-23 星期六 ,24℃,8℃,晴,无持续风向 微风,
2011-04-24 星期日 ,26℃,10℃,晴,无持续风向 微风,
2011-04-25 星期一 ,28℃,11℃,晴,无持续风向 微风,
2011-04-26 星期二 ,27℃,11℃,晴,北风 微风,
2011-04-27 星期三 ,26℃,13℃,晴~阵雨,无持续风向~北风 微风~4-5级,
2011-04-28 星期四 ,31℃,14℃,晴,无持续风向 微风,
2011-04-29 星期五 ,23℃,9℃,浮尘,北风 3-4级,
2011-04-30 星期六 ,21℃,11℃,多云~晴,无持续风向 微风,
2011-05-01 星期日 ,21℃,10℃,多云,无持续风向 微风,
2011-05-02 星期一 ,24℃,12℃,晴~多云,无持续风向 微风,
2011-05-03 星期二 ,21℃,10℃,多云,无持续风向 微风,
2011-05-04 星期三 ,26℃,8℃,晴,无持续风向 微风,
2011-05-05 星期四 ,27℃,12℃,晴,无持续风向 微风,
2011-05-06 星期五 ,30℃,16℃,晴,无持续风向 微风,
2011-05-07 星期六 ,31℃,17℃,晴~多云,无持续风向 微风,
2011-05-08 星期日 ,21℃,11℃,小雨,无持续风向 微风,
2011-05-09 星期一 ,13℃,8℃,小雨,无持续风向 微风,
2011-05-10 星期二 ,26℃,9℃,多云~阵雨,无持续风向 微风,
2011-05-11 星期三 ,12℃,6℃,阴~多云,无持续风向 微风,
2011-05-12 星期四 ,20℃,7℃,多云,无持续风向 微风,
2011-05-13 星期五 ,19℃,7℃,多云~阵雨,无持续风向 微风,
2011-05-14 星期六 ,22℃,8℃,晴~多云,无持续风向 微风,
2011-05-15 星期日 ,26℃,11℃,多云~晴,无持续风向 微风,
2011-05-16 星期一 ,28℃,12℃,晴,无持续风向 微风,
2011-05-17 星期二 ,31℃,14℃,晴,无持续风向 微风,
2011-05-18 星期三 ,26℃,12℃,晴~多云,无持续风向 微风,
2011-05-19 星期四 ,26℃,10℃,多云~阵雨,无持续风向 微风,
2011-05-20 星期五 ,14℃,8℃,阴~中雨,无持续风向 微风,
2011-05-21 星期六 ,16℃,6℃,小雨,无持续风向 微风,
2011-05-22 星期日 ,20℃,8℃,阴~多云,无持续风向 微风,
2011-05-23 星期一 ,24℃,13℃,多云,无持续风向 微风,
2011-05-24 星期二 ,24℃,12℃,多云~晴,无持续风向 微风,
2011-05-25 星期三 ,27℃,13℃,晴,无持续风向 微风,
2011-05-26 星期四 ,28℃,13℃,晴,无持续风向 微风,
2011-05-27 星期五 ,30℃,15℃,晴~多云,无持续风向 微风,
2011-05-28 星期六 ,28℃,13℃,多云~阵雨,无持续风向 微风,
2011-05-29 星期日 ,25℃,15℃,阴~多云,无持续风向 微风,
2011-05-30 星期一 ,25℃,14℃,多云,无持续风向 微风,
2011-05-31 星期二 ,28℃,13℃,晴,无持续风向 微风,
2011-06-01 星期三 ,30℃,14℃,晴,无持续风向 微风,
2011-06-02 星期四 ,28℃,13℃,晴,无持续风向 微风,
2011-06-03 星期五 ,28℃,16℃,晴,无持续风向 微风,
2011-06-04 星期六 ,28℃,18℃,阵雨~多云,无持续风向 微风,
2011-06-05 星期日 ,29℃,17℃,多云~晴,无持续风向 微风,
2011-06-06 星期一 ,31℃,17℃,晴,无持续风向 微风,
2011-06-07 星期二 ,33℃,19℃,晴,无持续风向 微风,
2011-06-08 星期三 ,27℃,16℃,多云~阵雨,无持续风向 微风,
2011-06-09 星期四 ,24℃,15℃,小雨~多云,无持续风向 微风,
2011-06-10 星期五 ,30℃,16℃,晴,无持续风向 微风,
2011-06-11 星期六 ,31℃,17℃,晴,无持续风向 微风,
2011-06-12 星期日 ,32℃,17℃,晴,无持续风向 微风,
2011-06-13 星期一 ,31℃,19℃,晴,无持续风向 微风,
2011-06-14 星期二 ,34℃,19℃,晴,无持续风向 微风,
2011-06-15 星期三 ,35℃,18℃,晴,无持续风向 微风,
2011-06-16 星期四 ,26℃,16℃,小雨~中雨,无持续风向 微风,
2011-06-17 星期五 ,28℃,16℃,晴~多云,无持续风向 微风,
2011-06-18 星期六 ,31℃,19℃,晴~多云,东南风~无持续风向 3-4级~微风,
2011-06-19 星期日 ,26℃,19℃,多云~阵雨,无持续风向 微风,
2011-06-20 星期一 ,27℃,18℃,多云~小雨,无持续风向 微风,
2011-06-21 星期二 ,25℃,16℃,小雨,无持续风向 微风,
2011-06-22 星期三 ,23℃,16℃,小雨~多云,无持续风向 微风,
2011-06-23 星期四 ,29℃,16℃,晴,无持续风向 微风,
2011-06-24 星期五 ,33℃,19℃,晴~多云,无持续风向 微风,
2011-06-25 星期六 ,29℃,15℃,阵雨~小雨,无持续风向 微风,
2011-06-26 星期日 ,24℃,12℃,小雨~多云,无持续风向 微风,
2011-06-27 星期一 ,31℃,15℃,晴,无持续风向 微风,
2011-06-28 星期二 ,34℃,17℃,晴~多云,无持续风向 微风,
2011-06-29 星期三 ,25℃,18℃,小雨,无持续风向 微风,
2011-06-30 星期四 ,27℃,17℃,多云~阵雨,无持续风向 微风,
2011-07-01 星期五 ,24℃,16℃,阵雨,无持续风向 微风,
2011-07-02 星期六 ,24℃,16℃,阵雨,无持续风向 微风,
2011-07-03 星期日 ,25℃,20℃,多云~阵雨,无持续风向 微风,
2011-07-04 星期一 ,22℃,19℃,小雨,无持续风向 微风,
2011-07-05 星期二 ,21℃,15℃,小雨,无持续风向 微风,
2011-07-06 星期三 ,25℃,15℃,阵雨~多云,无持续风向 微风,
2011-07-07 星期四 ,29℃,16℃,多云~晴,无持续风向 微风,
2011-07-08 星期五 ,31℃,18℃,晴,无持续风向 微风,
2011-07-09 星期六 ,21℃,15℃,阵雨~多云,无持续风向 微风,
2011-07-10 星期日 ,26℃,16℃,多云,无持续风向 微风,
2011-07-11 星期一 ,27℃,15℃,多云,无持续风向 微风,
2011-07-12 星期二 ,29℃,17℃,多云,无持续风向 微风,
2011-07-13 星期三 ,30℃,16℃,多云~阵雨,无持续风向 微风,
2011-07-14 星期四 ,31℃,17℃,晴,无持续风向 微风,
2011-07-15 星期五 ,34℃,18℃,晴,无持续风向 微风,
2011-07-16 星期六 ,34℃,18℃,晴,无持续风向 微风,
2011-07-17 星期日 ,35℃,18℃,晴,无持续风向 微风,
2011-07-18 星期一 ,34℃,18℃,晴,无持续风向 微风,
2011-07-19 星期二 ,34℃,18℃,晴,无持续风向 微风,
2011-07-20 星期三 ,34℃,19℃,晴,无持续风向 微风,
2011-07-21 星期四 ,33℃,19℃,晴,无持续风向 微风,
2011-07-22 星期五 ,35℃,20℃,晴,无持续风向 微风,
2011-07-23 星期六 ,35℃,20℃,晴,无持续风向 微风,
2011-07-24 星期日 ,34℃,20℃,晴,无持续风向 微风,
2011-07-25 星期一 ,34℃,21℃,晴,无持续风向 微风,
2011-07-26 星期二 ,34℃,20℃,晴,无持续风向 微风,
2011-07-27 星期三 ,34℃,18℃,晴~多云,无持续风向 微风,
2011-07-28 星期四 ,21℃,14℃,小雨~中雨,无持续风向 微风,
2011-07-29 星期五 ,25℃,16℃,阵雨~多云,无持续风向 微风,
2011-07-30 星期六 ,29℃,17℃,晴~多云,无持续风向 微风,
2011-07-31 星期日 ,28℃,16℃,多云,无持续风向 微风,
2011-08-01 星期一 ,29℃,17℃,晴,无持续风向 微风,
2011-08-02 星期二 ,31℃,16℃,晴,无持续风向 微风,
2011-08-03 星期三 ,29℃,16℃,晴~多云,无持续风向 微风,
2011-08-04 星期四 ,28℃,16℃,多云~阵雨,无持续风向 微风,
2011-08-05 星期五 ,31℃,18℃,晴,无持续风向 微风,
2011-08-06 星期六 ,34℃,17℃,晴,无持续风向 微风,
2011-08-07 星期日 ,35℃,18℃,晴,无持续风向 微风,
2011-08-08 星期一 ,36℃,18℃,晴,无持续风向 微风,
2011-08-09 星期二 ,36℃,19℃,晴,无持续风向 微风,
2011-08-10 星期三 ,34℃,19℃,晴,无持续风向 微风,
2011-08-11 星期四 ,35℃,20℃,晴,无持续风向 微风,
2011-08-12 星期五 ,36℃,21℃,晴,无持续风向 微风,
2011-08-13 星期六 ,33℃,22℃,多云~阵雨,无持续风向 微风,
2011-08-14 星期日 ,29℃,20℃,阵雨,无持续风向 微风,
2011-08-15 星期一 ,25℃,17℃,小到中雨,无持续风向 微风,
2011-08-16 星期二 ,26℃,17℃,小雨,无持续风向 微风,
2011-08-17 星期三 ,23℃,15℃,小雨,无持续风向 微风,
2011-08-18 星期四 ,18℃,15℃,小雨,无持续风向 微风,
2011-08-19 星期五 ,23℃,17℃,多云~小雨,无持续风向 微风,
2011-08-20 星期六 ,22℃,17℃,多云~小雨,无持续风向 微风,
2011-08-21 星期日 ,28℃,17℃,阵雨,无持续风向 微风,
2011-08-22 星期一 ,24℃,18℃,多云,无持续风向 微风,
2011-08-23 星期二 ,28℃,15℃,多云,无持续风向 微风,
2011-08-24 星期三 ,28℃,15℃,多云,无持续风向 微风,
2011-08-25 星期四 ,29℃,14℃,晴,无持续风向 微风,
2011-08-26 星期五 ,30℃,15℃,晴,无持续风向 微风,
2011-08-27 星期六 ,32℃,16℃,晴,无持续风向 微风,
2011-08-28 星期日 ,32℃,16℃,晴,无持续风向 微风,
2011-08-29 星期一 ,33℃,17℃,晴,无持续风向 微风,
2011-08-30 星期二 ,34℃,18℃,晴,无持续风向 微风,
